europeana_id,Title,Description,ImageLink,Creator,Subject,Type of item,Medium,Providing institution,Aggregator,Rights statement,Creation date,Places,Identifier,Is part of,Providing country,Collection name,First time published on Europeana,Last time updated from providing institution
HMT1,"Folk Icon ""Wedding couple""","Folk Icon ""Wedding couple"", Ukraine, Hutsulshchyna, Ivano-Frankivsk obl., Verkhovynskyi rn., v. Bukovets, Technique: painting, inlay on wood, Materials: wooden frame, gouache paints, paper, Creator: unknown, mid XX century",https://krovets.ua/disk/products/QCbv4ZU6ojKZHbYAlzOICztPf7H6Xx2d.jpg,unknown,painting | icon | Paper | Hutsulshchyna - ethnographical region,painting,"wooden frame, gouache paints, paper",Online Museum of the traditional art of Ukraine - KROVETS,MUSEU,http://creativecommons.org/licenses/by-nc-nd/4.0/,20th century,"Ivano-Frankivsk obl., Verkhovynskyi rn., v. Bukovets",/1413/HMT1,1413_KROVETS_Museum,Ukraine,1413_KROVETS_Museum,2025-12-05T16:01:05.765Z,2025-12-05T16:01:05.765Z
HMT2,"Folk Icon ""St. Michael""","Folk Icon ""St. Michael"", Ukraine, Hutsulshchyna, Ivano-Frankivsk obl., Verkhovynskyi rn., v. Bukovets, Technique: printing, Materials: clock face, wood, levkas, canvas, Creator: unknown, beginning of XX century",https://krovets.ua/disk/products/JJNPuDEex6R6WaqAIYN80hOWKo7LT54c.jpg,unknown,Wood | painting | Canvas | icon | Hutsulshchyna - ethnographical region,printing,"clock face, wood, levkas, canvas",Online Museum of the traditional art of Ukraine - KROVETS,MUSEU,http://creativecommons.org/licenses/by-nc-nd/4.0/,20th century,"Ivano-Frankivsk obl., Verkhovynskyi rn., v. Bukovets",/1413/HMT2,1413_KROVETS_Museum,Ukraine,1413_KROVETS_Museum,2025-12-05T16:01:05.765Z,2025-12-05T16:01:05.765Z
KYD1241,"Folk Icon ""Jesus Christ ""","Folk Icon ""Jesus Christ "", Ukraine, Western Podillia, Ternopil obl., Zbarazkyi rn., v. Chornyi lis, Technique: painting, Materials: gouache paints, cardboard, Creator: unknown, beginning of XX century",https://krovets.ua/disk/products/LMYFJXHaqKTZQuQBxF2REECqZBFuAB2x.jpg,unknown,Western Podillia - ethnographical region | painting | icon | Cardboard,painting,"gouache paints, cardboard",Online Museum of the traditional art of Ukraine - KROVETS,MUSEU,http://creativecommons.org/licenses/by-nc-nd/4.0/,20th century,"Ternopil obl., Zbarazkyi rn., v. Chornyi lis",/1413/KYD1241,1413_KROVETS_Museum,Ukraine,1413_KROVETS_Museum,2025-12-05T16:01:05.765Z,2025-12-05T16:01:05.765Z
KYD1242,"Folk Icon ""The Virgin Mary""","Folk Icon ""The Virgin Mary"", Ukraine, Western Podillia, Ternopil obl., Zbarazkyi rn., v. Chornyi lis, Technique: painting, Materials: gouache paints, cardboard, Creator: unknown, beginning of XX century",https://krovets.ua/disk/products/JQhNZnEgo1HYevRd53DYDrYYvmOZoo5x.jpg,unknown,Western Podillia - ethnographical region | painting | icon | Cardboard,painting,"gouache paints, cardboard",Online Museum of the traditional art of Ukraine - KROVETS,MUSEU,http://creativecommons.org/licenses/by-nc-nd/4.0/,20th century,"Ternopil obl., Zbarazkyi rn., v. Chornyi lis",/1413/KYD1242,1413_KROVETS_Museum,Ukraine,1413_KROVETS_Museum,2025-12-05T16:01:05.765Z,2025-12-05T16:01:05.765Z
KYD1243,"Folk Icon ""The Christ""","Folk Icon ""The Christ"", Ukraine, Poltavshchyna, Polatava obl., Hadiatskyi rn., Technique: painting, Materials: oil paints, wood, Creator: unknown, beginning of XX century",https://krovets.ua/disk/products/ZTEI5hDDqRPcKn3sm6G6s25mZuuWo49V.jpg,unknown,Poltavshchyna - ethnographical region | Wood | painting | icon,painting,"oil paints, wood",Online Museum of the traditional art of Ukraine - KROVETS,MUSEU,http://creativecommons.org/licenses/by-nc-nd/4.0/,20th century,"Polatava obl., Hadiatskyi rn.",/1413/KYD1243,1413_KROVETS_Museum,Ukraine,1413_KROVETS_Museum,2025-12-05T16:01:05.765Z,2025-12-05T16:01:05.765Z
KYD1244,"Folk Icon ""The Exaltation of the Holly Cross""","Folk Icon ""The Exaltation of the Holly Cross"", Ukraine, Chernihiv Polissia, Chernihiv obl., Borznianskyi rn., Technique: painting, Materials: oil paints, wood, Creator: unknown, beginning of XX century",https://krovets.ua/disk/products/INVENOJP5qtuzMfWuUn5DKdaP07IlfHS.jpg,unknown,Wood | painting | icon | Chernihiv Polissia - ethnographical region,painting,"oil paints, wood",Online Museum of the traditional art of Ukraine - KROVETS,MUSEU,http://creativecommons.org/licenses/by-nc-nd/4.0/,20th century,"Chernihiv obl., Borznianskyi rn.",/1413/KYD1244,1413_KROVETS_Museum,Ukraine,1413_KROVETS_Museum,2025-12-05T16:01:05.765Z,2025-12-05T16:01:05.765Z
KYD1245,"Folk Icon ""Our Lady and Saint Michael""","Folk Icon ""Our Lady and Saint Michael"", Ukraine, Zhytomyr Polissia, Zhytomyr obl., Ovrutskyi rn., v. Stuhovshchyna, Technique: painting, Materials: oil paints, wood, Creator: unknown, beginning of XX century",https://krovets.ua/disk/products/XOTfJyzBaAqwBDUGvhFSUEmfCYxfpyKn.jpg,unknown,Wood | painting | icon | Zhytomyr Polissia - ethnographical region,painting,"oil paints, wood",Online Museum of the traditional art of Ukraine - KROVETS,MUSEU,http://creativecommons.org/licenses/by-nc-nd/4.0/,20th century,"Zhytomyr obl., Ovrutskyi rn., v. Stuhovshchyna",/1413/KYD1245,1413_KROVETS_Museum,Ukraine,1413_KROVETS_Museum,2025-12-05T16:01:05.765Z,2025-12-05T16:01:05.765Z
KYD1246,"Folk Icon ""The Blessed Virgin with a baby""","Folk Icon ""The Blessed Virgin with a baby"", Ukraine, Middle Podniprovia, Zhytomyr obl., Popilnianskyi rn., v. Stavyshche, Technique: painting, Materials: oil paints, wood, Creator: unknown, beginning of XX century",https://krovets.ua/disk/products/N6h7DdKDF7r6wziVfRnTpe0SISEQgV23.jpg,unknown,Wood | painting | icon | Middle Podniprovia - ethnographical region,painting,"oil paints, wood",Online Museum of the traditional art of Ukraine - KROVETS,MUSEU,http://creativecommons.org/licenses/by-nc-nd/4.0/,20th century,"Zhytomyr obl., Popilnianskyi rn., v. Stavyshche",/1413/KYD1246,1413_KROVETS_Museum,Ukraine,1413_KROVETS_Museum,2025-12-05T16:01:05.765Z,2025-12-05T16:01:05.765Z
KYD1247,"Folk Icon ""St. Paraskeva""","Folk Icon ""St. Paraskeva"", Ukraine, Middle Podniprovia, Cherkasy obl., Kamianskyi rn., v. Mykhailivka, Technique: painting, Materials: oil paints, wood, Creator: unknown, beginning of XX century",https://krovets.ua/disk/products/0TANtmDeImnUlKxpt9Y6wuk0QHGOdSAo.jpg,unknown,Wood | painting | icon | Middle Podniprovia - ethnographical region,painting,"oil paints, wood",Online Museum of the traditional art of Ukraine - KROVETS,MUSEU,http://creativecommons.org/licenses/by-nc-nd/4.0/,20th century,"Cherkasy obl., Kamianskyi rn., v. Mykhailivka",/1413/KYD1247,1413_KROVETS_Museum,Ukraine,1413_KROVETS_Museum,2025-12-05T16:01:05.765Z,2025-12-05T16:01:05.765Z
KYD1248,"Folk Painting ""Landscape""","Folk Painting ""Landscape"", Ukraine, Zhytomyr Polissia, Zhytomyr obl., Korostenskyi rn., v. Didkovychi, Technique: painting, Materials: oil paints, plywood, Creator: unknown, 1-st half of XX century",https://krovets.ua/disk/products/rWplQvm4YQ4OQTuRfXQQJdk3Rf0C1Mjp.jpg,unknown,Category:Ukrainian painting | painting | Zhytomyr Polissia - ethnographical region,painting,"oil paints, plywood",Online Museum of the traditional art of Ukraine - KROVETS,MUSEU,http://creativecommons.org/licenses/by-nc-nd/4.0/,20th century,"Zhytomyr obl., Korostenskyi rn., v. Didkovychi",/1413/KYD1248,1413_KROVETS_Museum,Ukraine,1413_KROVETS_Museum,2025-12-05T16:01:05.765Z,2025-12-05T16:01:05.765Z
KYD1249,"Folk Painting ""Yaryna""","Folk Painting ""Yaryna"", Ukraine, Middle Podniprovia, Kyiv obl., Pereiaslav-Khmelnytskyi rn., v. Yerkivtsi, Technique: painting, Materials: oil paints, canvas, Creator: Yarmolenko Panas Mykolaiovych, 1-st half of XX century",https://krovets.ua/disk/products/LL73wfX448psCm0YUv5ws9NFqa7Gtf97.jpg,http://viaf.org/en/viaf/39194901,Category:Ukrainian painting | painting | Canvas | Middle Podniprovia - ethnographical region,painting,"oil paints, canvas",Online Museum of the traditional art of Ukraine - KROVETS,MUSEU,http://creativecommons.org/licenses/by-nc-nd/4.0/,20th century,"Kyiv obl., Pereiaslav-Khmelnytskyi rn., v. Yerkivtsi",/1413/KYD1249,1413_KROVETS_Museum,Ukraine,1413_KROVETS_Museum,2025-12-05T16:01:05.765Z,2025-12-05T16:01:05.765Z
KYD1250,"Folk Painting ""Near the Well""","Folk Painting ""Near the Well"", Ukraine, Poltavshchyna, Chernihiv obl., Prylutskyi rn., t. Pryluky, Technique: painting, Materials: oil paints, plywood, Creator: unknown, 1-st half of XX century",https://krovets.ua/disk/products/25JQwgpvX7IMBykOBS8KmWE6i1VzovMN.jpg,unknown,Poltavshchyna - ethnographical region | Category:Ukrainian painting | painting,painting,"oil paints, plywood",Online Museum of the traditional art of Ukraine - KROVETS,MUSEU,http://creativecommons.org/licenses/by-nc-nd/4.0/,20th century,"Chernihiv obl., Prylutskyi rn., t. Pryluky",/1413/KYD1250,1413_KROVETS_Museum,Ukraine,1413_KROVETS_Museum,2025-12-05T16:01:05.765Z,2025-12-05T16:01:05.765Z
KYD1251,"Folk Painting ""Boys and girls""","Folk Painting ""Boys and girls"", Ukraine, Poltavshchyna, Polatava obl., Lubenskyi rn., Technique: painting, Materials: oil paints, plywood, Creator: unknown, 1-st half of XX century",https://krovets.ua/disk/products/6VXeJecEzO5k1z0NzSew8YYXBQXqxAUR.jpg,unknown,Poltavshchyna - ethnographical region | Category:Ukrainian painting | painting,painting,"oil paints, plywood",Online Museum of the traditional art of Ukraine - KROVETS,MUSEU,http://creativecommons.org/licenses/by-nc-nd/4.0/,20th century,"Polatava obl., Lubenskyi rn.",/1413/KYD1251,1413_KROVETS_Museum,Ukraine,1413_KROVETS_Museum,2025-12-05T16:01:05.765Z,2025-12-05T16:01:05.765Z
KYD1252,"Folk Painting ""Portrait of a girl""","Folk Painting ""Portrait of a girl"", Ukraine, Poltavshchyna, Polatava obl., Zinkivskyi rn., Technique: painting, Materials: oil paints, canvas, Creator: unknown, 1-st half of XX century",https://krovets.ua/disk/products/F9fPOYbDjUGkTRZwpfoAXbJ0b1IkOrCm.jpg,unknown,Poltavshchyna - ethnographical region | Category:Ukrainian painting | painting | Canvas,painting,"oil paints, canvas",Online Museum of the traditional art of Ukraine - KROVETS,MUSEU,http://creativecommons.org/licenses/by-nc-nd/4.0/,20th century,"Polatava obl., Zinkivskyi rn.",/1413/KYD1252,1413_KROVETS_Museum,Ukraine,1413_KROVETS_Museum,2025-12-05T16:01:05.765Z,2025-12-05T16:01:05.765Z
KYD1260,"Folk Icon ""Saint Varvara""","Folk Icon ""Saint Varvara"", Ukraine, Poltavshchyna, Polatava obl., Myrhorodskyi rn., Technique: painting, Materials: oil paints, metal, Creator: unknown, end of XIX century",https://krovets.ua/disk/products/Jk6hfuWFWfU6WPxotWKnbxucswEPZkiq.jpg,unknown,Poltavshchyna - ethnographical region | painting | icon | Metal,painting,"oil paints, metal",Online Museum of the traditional art of Ukraine - KROVETS,MUSEU,http://creativecommons.org/licenses/by-nc-nd/4.0/,19th century,"Polatava obl., Myrhorodskyi rn.",/1413/KYD1260,1413_KROVETS_Museum,Ukraine,1413_KROVETS_Museum,2025-12-05T16:01:05.765Z,2025-12-05T16:01:05.765Z
KYD1261,"Folk Icon ""Lord Savaof""","Folk Icon ""Lord Savaof"", Ukraine, Chernihiv Polissia, Chernihiv obl., Horodnianskyi rn., v. Tupychiv, Technique: painting, Materials: oil paints, wood, Creator: unknown, 1-st half of XX century",https://krovets.ua/disk/products/AugEPlEcbnPNPj6ClJUDuTWEKyPRicz8.jpg,unknown,Wood | painting | icon | Chernihiv Polissia - ethnographical region,painting,"oil paints, wood",Online Museum of the traditional art of Ukraine - KROVETS,MUSEU,http://creativecommons.org/licenses/by-nc-nd/4.0/,20th century,"Chernihiv obl., Horodnianskyi rn., v. Tupychiv",/1413/KYD1261,1413_KROVETS_Museum,Ukraine,1413_KROVETS_Museum,2025-12-05T16:01:05.765Z,2025-12-05T16:01:05.765Z
KYD1264,"Folk Icon ""Bogorodica Trojerucica""","Folk Icon ""Bogorodica Trojerucica"", Ukraine, Chernihiv Polissia, Chernihiv obl., Technique: painting, Materials: oil paints, wood, Creator: unknown, beginning of XX century",https://krovets.ua/disk/products/axwqDib7UZINejs052e3uJhHGZvrHyUa.jpg,unknown,Wood | painting | icon | Chernihiv Polissia - ethnographical region,painting,"oil paints, wood",Online Museum of the traditional art of Ukraine - KROVETS,MUSEU,http://creativecommons.org/licenses/by-nc-nd/4.0/,20th century,Chernihiv obl.,/1413/KYD1264,1413_KROVETS_Museum,Ukraine,1413_KROVETS_Museum,2025-12-05T16:01:05.765Z,2025-12-05T16:01:05.765Z
