europeana_id,Figures,Objects,Scenes
HMT1,['couple'],"['icon', 'Paper']",['Wedding couple']
HMT2,['St. Michael'],"['Wood', 'Canvas', 'icon']",['St. Michael']
KYD1241,[],"['icon', 'Cardboard']",['Jesus Christ']
KYD1242,[],"['icon', 'Cardboard']",['The Virgin Mary']
KYD1243,[],"['Wood', 'icon']",['The Christ']
KYD1244,[],"['Wood', 'icon']",['The Exaltation of the Holly Cross']
KYD1245,"['saint', 'Saint Michael']","['Wood', 'icon']",['Our Lady and Saint Michael']
KYD1246,['baby'],"['Wood', 'icon']",['The Blessed Virgin with a baby']
KYD1247,['St. Paraskeva'],"['Wood', 'icon']",['St. Paraskeva']
KYD1248,[],[],['Landscape']
KYD1249,['Yaryna'],['Canvas'],['Yaryna']
KYD1250,[],[],['Near the Well']
KYD1251,"['boys', 'girls']",[],['Boys and girls']
KYD1252,"['a girl', 'girl']",['Canvas'],['Portrait of a girl']
KYD1260,['saint'],"['icon', 'Metal']",['Saint Varvara']
KYD1261,[],"['Wood', 'icon']",['Lord Savaof']
KYD1264,[],"['Wood', 'icon']",['Bogorodica Trojerucica']
KYD1679,['mother'],"['Wood', 'icon']",['The Kazan icon of the Mother of God']
KYD1680,['baby'],"['Wood', 'icon']",['The Blessed Virgin with a baby']
KYD1681,['Jesus Christ'],"['Wood', 'icon']","['Jesus Christ, the Almighty']"
KYD1682,[],"['Wood', 'icon']",['Our Lady of Okhtyrka']
KYD1683,['baby'],"['Wood', 'icon']",['The Blessed Virgin with a baby']
KYD1684,['Jesus Christ'],"['Wood', 'icon']","['Jesus Christ, the Lidless Eye']"
KYD1685,['saint'],"['Wood', 'icon']",['Our Lady of Pechersk with the Saint monks']
KYD1686,[],"['Wood', 'icon']",['Christ Carrying the Cross and Our Lady of Sorrows']
KYD1687,['Jesus Christ'],"['Wood', 'icon']","['Jesus Christ, the Almighty']"
KYD1688,['baby'],"['Wood', 'icon']",['The Blessed Virgin with a baby']
KYD1689,[],"['Wood', 'icon']",['The Virgin Mary of Tenderness']
KYD1690,['baby'],"['Wood', 'icon']",['The Blessed Virgin with a baby']
KYD1691,['baby'],"['Wood', 'icon']",['The Blessed Virgin with a baby']
KYD1692,['St. Yuri the'],"['Wood', 'icon']",['St. Yuri the Slayer of a Dragon']
KYD1693,['mother'],"['Wood', 'icon']",['The Kazan icon of the Mother of God']
KYD1694,['St. Yuri the'],"['Wood', 'icon']",['St. Yuri the Slayer of a Dragon']
KYD1695,['baby'],"['Wood', 'icon']",['The Blessed Virgin with a baby']
KYD1696,['martyr'],"['Wood', 'icon']",['The Great Martyr Varvara']
KYD1697,[],"['Wood', 'icon']",['Our Lady of the Way']
KYD1698,['martyr'],"['Wood', 'icon']",['The Great Martyr Varvara']
KYD1699,['martyr'],"['Wood', 'icon']",['The Great Martyr Varvara']
KYD1700,['St. Michael'],"['Wood', 'icon']",['St. Michael']
KYD1701,['St. Michael and'],"['Wood', 'icon']",['St. Michael and Our Lady of Pochaiv']
KYD1702,['Godhead'],"['Wood', 'icon']",['Our Lady of Kazan and the Godhead']
KYD1703,[],"['Wood', 'icon']",['Bogorodica Trojerucica']
KYD1704,[],"['Wood', 'icon']",['Bogorodica Trojerucica']
KYD1705,[],"['Wood', 'icon']",['Coronation of the Virgin']
KYD1706,['St. Yuri the'],"['Wood', 'icon']",['St. Yuri the Slayer of a Dragon']
KYD1707,[],"['Wood', 'icon']",['Our Lady of Okhtyrka']
KYD1708,[],"['Wood', 'icon']",['Bogorodica Trojerucica']
KYD1709,['St. Yuri the'],"['Wood', 'icon']",['St. Yuri the Slayer of a Dragon']
KYD1710,[],"['Wood', 'icon']",['Our Lady of Pochaiv']
KYD1711,[],"['Wood', 'icon']",['Our Lady of the Way']
KYD1712,[],"['Wood', 'icon']",['Our Lady of Pochaiv']
KYD1713,['martyr'],"['Wood', 'icon']",['The Great Martyr Varvara']
KYD1714,[],"['Wood', 'icon']",['The Virgin Mary']
KYD1715,[],"['Wood', 'icon']",['The Blessed Virgin – the Burning Bush']
KYD1716,[],"['Wood', 'icon']",['Jesus Christ - Vine']
KYD1717,['St. Michael'],"['Wood', 'icon']",['St. Michael']
KYD1718,['St. Michael'],"['Wood', 'icon']",['St. Michael']
