created,value,europeana_id,upvotes,downvotes,recommendation
13.02.2026,cross,HMT1,7,3,accept
29.03.2026,Green background,HMT1,4,0,accept
13.02.2026,mary,HMT1,10,1,accept
13.02.2026,icon,HMT1,14,0,accept
27.03.2026,pair of icons,HMT1,9,0,accept
27.03.2026,Virgin Mary,HMT1,10,0,accept
27.03.2026,White lily,HMT1,9,0,accept
13.02.2026,religious icon,HMT1,13,0,accept
13.02.2026,wedding couple,HMT1,12,2,accept
29.03.2026,Wooden frame,HMT1,4,0,accept
29.03.2026,Decorative flowers,HMT1,4,0,accept
27.03.2026,Blue veil,HMT1,11,0,accept
13.02.2026,heart,HMT1,11,0,accept
13.02.2026,couple,HMT1,8,1,accept
13.02.2026,decorative wooden border,HMT1,11,0,accept
13.02.2026,halos,HMT1,11,0,accept
13.02.2026,traditional iconographic style,HMT1,6,2,accept
13.02.2026,sunburst design,HMT1,2,6,reject
13.02.2026,geometric patterns,HMT1,13,0,accept
27.03.2026,Jesus Christ,HMT1,12,0,accept
27.03.2026,Sacred heart,HMT1,12,0,accept
13.02.2026,jesus,HMT1,10,0,accept
13.02.2026,floral background,HMT1,13,0,accept
13.02.2026,hole in background,HMT2,11,0,accept
13.02.2026,clock face,HMT2,0,0,unknown
13.02.2026,st. michael,HMT2,11,1,accept
13.02.2026,red robes,HMT2,12,0,accept
13.02.2026,book,HMT2,13,0,accept
13.02.2026,smaller figure on right,HMT2,11,0,accept
27.03.2026,Saint Nicholas,HMT2,7,2,accept
13.02.2026,smaller figure on left,HMT2,11,0,accept
29.03.2026,carved frame,HMT2,6,0,accept
13.02.2026,bearded man,HMT2,12,0,accept
13.02.2026,icon,HMT2,13,0,accept
13.02.2026,red crown,HMT2,13,0,accept
13.02.2026,a man,KSU1,14,0,accept
27.03.2026,Brus Hryhorii,KSU1,10,0,accept
13.02.2026,white fur hat,KSU1,17,0,accept
27.03.2026,Trees,KSU1,12,0,accept
13.02.2026,portrait,KSU1,17,0,accept
13.02.2026,green trousers,KSU1,4,8,reject
27.03.2026,Green and checkered sash,KSU1,9,0,accept
13.02.2026,damage on the right side,KSU1,2,9,reject
13.02.2026,white embroidered shirt,KSU1,18,0,accept
27.03.2026,Path,KSU1,11,0,accept
27.03.2026,cummerbund,KSU1,7,0,accept
13.02.2026,visible signs of age,KSU1,6,4,accept
31.03.2026,hillside,KSU1,5,0,accept
13.02.2026,portrait of a man,KSU1,14,0,accept
05.04.2026,Hill,KSU1,1,0,accept
05.04.2026,Vyshyvanka,KSU1,1,0,accept
13.02.2026,dark cloak,KSU1,10,1,accept
13.02.2026,man,KSU1,21,0,accept
13.02.2026,red ribbon,KSU1,16,0,accept
31.03.2026,blue sky with clouds,KSU1,5,1,accept
31.03.2026,"Study, my brothers, think, read!",KSU10,6,0,accept
13.02.2026,portrait of taras shevchenko,KSU10,16,1,accept
13.02.2026,blue coat,KSU10,22,0,accept
27.03.2026,Taras Shevchenko,KSU10,12,0,accept
13.02.2026,grey mustache,KSU10,20,0,accept
13.02.2026,taras shevchenko,KSU10,19,1,accept
13.02.2026,red vest,KSU10,2,14,reject
29.03.2026,Sign underneath,KSU10,5,0,accept
13.02.2026,wear,KSU10,0,0,unknown
29.03.2026,Blured blue background,KSU10,8,0,accept
13.02.2026,white shirt,KSU10,13,0,accept
13.02.2026,signs of age,KSU10,12,0,accept
29.03.2026,Buttons,KSU10,7,0,accept
29.03.2026,Brown tie,KSU10,7,0,accept
13.02.2026,painted portrait,KSU10,16,0,accept
13.02.2026,balding man,KSU10,14,0,accept
27.03.2026,White building,KSU11,8,0,accept
13.02.2026,stones,KSU11,12,0,accept
13.02.2026,a village,KSU11,8,5,accept
31.03.2026,distant wood,KSU11,4,0,accept
13.02.2026,boat,KSU11,14,0,accept
27.03.2026,Oars,KSU11,9,0,accept
27.03.2026,Moonlight,KSU11,8,0,accept
13.02.2026,cottage,KSU11,7,3,accept
13.02.2026,impressionistic style,KSU11,8,1,accept
13.02.2026,flowers,KSU11,12,0,accept
13.02.2026,trees,KSU11,14,0,accept
13.02.2026,thatched roof,KSU11,17,0,accept
27.03.2026,river,KSU11,11,0,accept
27.03.2026,Sky,KSU11,9,0,accept
31.03.2026,chimney,KSU11,4,0,accept
31.03.2026,dirt path,KSU11,4,0,accept
13.02.2026,moon,KSU11,15,0,accept
31.03.2026,clouds,KSU11,4,0,accept
13.02.2026,windows,KSU11,11,0,accept
13.02.2026,painting,KSU11,14,0,accept
13.02.2026,shore,KSU11,11,0,accept
31.03.2026,Rural house,KSU12,5,0,accept
13.02.2026,painting,KSU12,10,2,accept
27.03.2026,Sunset or sunrise,KSU12,10,0,accept
31.03.2026,flowering bushes,KSU12,5,0,accept
31.03.2026,green grass,KSU12,6,0,accept
13.02.2026,thatched roofs,KSU12,17,0,accept
31.03.2026,Khata,KSU12,5,1,accept
27.03.2026,poplar tree,KSU12,10,1,accept
13.02.2026,a village,KSU12,16,0,accept
13.02.2026,three houses,KSU12,16,0,accept
13.02.2026,white walls,KSU12,15,0,accept
13.02.2026,tall cypress trees,KSU12,5,4,accept
13.02.2026,blue trim,KSU12,2,9,reject
13.02.2026,rural village,KSU12,21,0,accept
13.02.2026,canvas,KSU12,13,0,accept
13.02.2026,trees,KSU12,19,0,accept
13.02.2026,wooden fence,KSU12,17,0,accept
13.02.2026,dirt path,KSU12,15,0,accept
02.04.2026,girl,KSU13,2,0,accept
27.03.2026,Shutenko V.,KSU13,8,0,accept
31.03.2026,green grass,KSU13,7,0,accept
31.03.2026,sky with clouds,KSU13,6,1,accept
13.02.2026,bucket,KSU13,17,1,accept
31.03.2026,dirt path,KSU13,7,0,accept
05.04.2026,Hills,KSU13,1,0,accept
13.02.2026,dark blue bodice,KSU13,13,1,accept
13.02.2026,white blouse with red embroidery,KSU13,20,0,accept
13.02.2026,wear,KSU13,3,7,reject
13.02.2026,traditional folk attire,KSU13,19,0,accept
05.04.2026,Cross,KSU13,1,0,accept
13.02.2026,signs of age,KSU13,9,3,accept
13.02.2026,rural landscape,KSU13,19,0,accept
02.04.2026,Vyshyvanka,KSU13,3,0,accept
13.02.2026,wooden well,KSU13,17,0,accept
13.02.2026,patterned skirt,KSU13,15,1,accept
13.02.2026,woman,KSU13,16,1,accept
13.02.2026,painting,KSU13,17,0,accept
13.02.2026,near the well,KSU13,13,2,accept
13.02.2026,dog,KSU14,18,0,accept
13.02.2026,sled,KSU14,14,0,accept
29.03.2026,Evening sky,KSU14,9,0,accept
13.02.2026,red hat,KSU14,16,0,accept
13.02.2026,horse,KSU14,16,1,accept
27.03.2026,Church,KSU14,16,0,accept
13.02.2026,a village,KSU14,17,0,accept
13.02.2026,person,KSU14,14,0,accept
29.03.2026,Well crane,KSU14,6,0,accept
29.03.2026,Three small houses,KSU14,6,1,accept
13.02.2026,frame,KSU14,15,0,accept
13.02.2026,weathered,KSU14,2,8,reject
13.02.2026,winter scene,KSU14,20,0,accept
13.02.2026,village,KSU14,19,0,accept
29.03.2026,Larger house,KSU14,8,0,accept
31.03.2026,landscape,KSU14,7,0,accept
31.03.2026,Scenery,KSU14,6,0,accept
13.02.2026,chimney,KSU15,16,1,accept
13.02.2026,painting,KSU15,15,1,accept
13.02.2026,snow-covered path,KSU15,20,0,accept
27.03.2026,Winter landscape,KSU15,20,0,accept
13.02.2026,wooden fence,KSU15,19,0,accept
13.02.2026,yellow wall,KSU15,13,0,accept
13.02.2026,other houses,KSU15,12,0,accept
02.04.2026,fence,KSU15,2,0,accept
27.03.2026,Clouded sky,KSU15,12,0,accept
13.02.2026,a village,KSU15,19,0,accept
13.02.2026,trees,KSU15,16,0,accept
13.02.2026,dark roof,KSU15,3,10,reject
13.02.2026,snow-covered rural scene,KSU15,23,0,accept
13.02.2026,small round thatched-roof house,KSU15,9,6,accept
13.02.2026,small white building,KSU16,10,0,accept
13.02.2026,painting,KSU16,16,0,accept
13.02.2026,green domes,KSU16,17,0,accept
27.03.2026,Dirt road,KSU16,10,0,accept
27.03.2026,Sky with clouds,KSU16,10,0,accept
31.03.2026,windows,KSU16,5,0,accept
13.02.2026,white walls,KSU16,11,0,accept
13.02.2026,grassy hill,KSU16,6,5,accept
27.03.2026,Church,KSU16,16,0,accept
13.02.2026,two figures,KSU16,12,0,accept
13.02.2026,a village,KSU16,8,2,accept
13.02.2026,golden crosses,KSU16,17,0,accept
13.02.2026,dirt field,KSU16,2,7,reject
27.03.2026,town,KSU16,5,3,accept
13.02.2026,trees,KSU16,12,0,accept
13.02.2026,wooden fence,KSU16,13,0,accept
13.02.2026,russian orthodox church complex,KSU16,2,9,reject
13.02.2026,bell tower,KSU16,15,0,accept
13.02.2026,bunch of green grapes,KSU17,16,0,accept
13.02.2026,still life,KSU17,12,2,accept
13.02.2026,bowl of green cucumbers,KSU17,15,0,accept
13.02.2026,bottle of wine,KSU17,14,0,accept
13.02.2026,canvas,KSU17,4,6,reject
13.02.2026,several green apples,KSU17,18,0,accept
13.02.2026,sliced watermelon,KSU17,16,0,accept
