europeana_id,value,upvotes,downvotes,recommendation
HMT1,Blue veil,13,0,accept
HMT1,Decorative flowers,4,0,accept
HMT1,Green background,4,0,accept
HMT1,Jesus Christ,15,0,accept
HMT1,Sacred heart,15,0,accept
HMT1,Virgin Mary,12,0,accept
HMT1,White lily,10,0,accept
HMT1,Wooden frame,4,0,accept
HMT1,couple,10,1,accept
HMT1,cross,11,4,accept
HMT1,decorative wooden border,16,0,accept
HMT1,floral background,20,0,accept
HMT1,geometric patterns,20,0,accept
HMT1,halos,17,0,accept
HMT1,heart,16,0,accept
HMT1,icon,22,0,accept
HMT1,jesus,15,0,accept
HMT1,mary,16,1,accept
HMT1,pair of icons,10,0,accept
HMT1,religious icon,23,0,accept
HMT1,sunburst design,2,9,reject
HMT1,traditional iconographic style,6,2,accept
HMT1,wedding couple,18,4,accept
HMT2,Saint Nicholas,8,2,accept
HMT2,bearded man,22,0,accept
HMT2,book,23,0,accept
HMT2,carved frame,6,0,accept
HMT2,clock face,1,6,reject
HMT2,hole in background,18,0,accept
HMT2,icon,23,0,accept
HMT2,red crown,23,0,accept
HMT2,red robes,21,0,accept
HMT2,smaller figure on left,20,0,accept
HMT2,smaller figure on right,20,0,accept
HMT2,st. michael,18,4,accept
KSU1,Brus Hryhorii,11,0,accept
KSU1,Green and checkered sash,10,0,accept
KSU1,Path,12,0,accept
KSU1,Trees,13,0,accept
KSU1,a man,23,0,accept
KSU1,blue sky with clouds,5,1,accept
KSU1,cummerbund,7,1,accept
KSU1,damage on the right side,2,17,reject
KSU1,dark cloak,10,3,accept
KSU1,green trousers,4,16,reject
KSU1,hillside,5,0,accept
KSU1,man,33,0,accept
KSU1,portrait,27,0,accept
KSU1,portrait of a man,23,0,accept
KSU1,red ribbon,25,0,accept
KSU1,visible signs of age,6,4,accept
KSU1,white embroidered shirt,30,0,accept
KSU1,white fur hat,28,0,accept
KSU10,Blured blue background,8,0,accept
KSU10,Brown tie,7,0,accept
KSU10,Buttons,7,0,accept
KSU10,Sign underneath,5,0,accept
KSU10,"Study, my brothers, think, read!",6,0,accept
KSU10,Taras Shevchenko,12,0,accept
KSU10,balding man,23,0,accept
KSU10,blue coat,37,0,accept
KSU10,grey mustache,31,0,accept
KSU10,painted portrait,25,0,accept
KSU10,portrait of taras shevchenko,24,1,accept
KSU10,red vest,2,23,reject
KSU10,signs of age,19,0,accept
KSU10,taras shevchenko,30,1,accept
KSU10,wear,0,0,unknown
KSU10,white shirt,21,0,accept
KSU11,Moonlight,9,0,accept
KSU11,Oars,11,0,accept
KSU11,Sky,11,0,accept
KSU11,White building,9,0,accept
KSU11,a village,8,5,accept
KSU11,boat,22,0,accept
KSU11,chimney,4,0,accept
KSU11,clouds,4,0,accept
KSU11,cottage,7,5,accept
KSU11,dirt path,4,0,accept
KSU11,distant wood,4,0,accept
KSU11,flowers,19,0,accept
KSU11,impressionistic style,15,2,accept
KSU11,moon,24,0,accept
KSU11,painting,24,0,accept
KSU11,river,15,0,accept
KSU11,shore,17,0,accept
KSU11,stones,19,0,accept
KSU11,thatched roof,26,0,accept
KSU11,trees,22,0,accept
KSU11,windows,17,0,accept
KSU12,Khata,4,1,accept
KSU12,Rural house,4,0,accept
KSU12,Sunset or sunrise,11,0,accept
KSU12,a village,25,0,accept
KSU12,blue trim,2,17,reject
KSU12,canvas,19,0,accept
KSU12,dirt path,25,0,accept
KSU12,flowering bushes,4,0,accept
KSU12,green grass,5,0,accept
KSU12,painting,10,8,accept
KSU12,poplar tree,12,1,accept
KSU12,rural village,33,0,accept
KSU12,tall cypress trees,5,4,accept
KSU12,thatched roofs,28,0,accept
KSU12,three houses,25,0,accept
KSU12,trees,31,0,accept
KSU12,white walls,24,0,accept
KSU12,wooden fence,27,0,accept
KSU13,Shutenko V.,9,0,accept
KSU13,Vyshyvanka,2,0,accept
KSU13,bucket,29,4,accept
KSU13,dark blue bodice,23,4,accept
KSU13,dirt path,6,0,accept
KSU13,girl,1,0,accept
KSU13,green grass,6,0,accept
KSU13,near the well,17,4,accept
KSU13,painting,32,0,accept
KSU13,patterned skirt,26,4,accept
KSU13,rural landscape,34,0,accept
KSU13,signs of age,18,6,accept
KSU13,sky with clouds,5,1,accept
KSU13,traditional folk attire,35,0,accept
KSU13,wear,6,15,reject
KSU13,white blouse with red embroidery,36,0,accept
KSU13,woman,30,1,accept
KSU13,wooden well,31,0,accept
KSU14,Church,20,0,accept
KSU14,Evening sky,9,0,accept
KSU14,Larger house,8,0,accept
KSU14,Scenery,6,0,accept
KSU14,Three small houses,6,1,accept
KSU14,Well crane,6,0,accept
KSU14,a village,29,0,accept
KSU14,dog,31,0,accept
KSU14,frame,26,0,accept
KSU14,horse,27,1,accept
KSU14,landscape,7,0,accept
KSU14,person,24,0,accept
KSU14,red hat,28,0,accept
KSU14,sled,25,0,accept
KSU14,village,32,0,accept
KSU14,weathered,2,15,reject
KSU14,winter scene,33,0,accept
KSU15,Clouded sky,13,0,accept
KSU15,Winter landscape,26,0,accept
KSU15,a village,29,0,accept
KSU15,chimney,21,2,accept
KSU15,dark roof,6,17,reject
KSU15,fence,2,0,accept
KSU15,other houses,19,0,accept
KSU15,painting,19,2,accept
KSU15,small round thatched-roof house,13,8,accept
KSU15,snow-covered path,33,0,accept
KSU15,snow-covered rural scene,35,0,accept
KSU15,trees,24,0,accept
KSU15,wooden fence,29,0,accept
KSU15,yellow wall,21,0,accept
KSU16,Church,23,0,accept
KSU16,Dirt road,12,0,accept
KSU16,Sky with clouds,12,0,accept
KSU16,a village,9,6,accept
KSU16,bell tower,23,0,accept
KSU16,dirt field,2,11,reject
KSU16,golden crosses,27,0,accept
KSU16,grassy hill,8,5,accept
KSU16,green domes,27,0,accept
KSU16,painting,27,0,accept
KSU16,russian orthodox church complex,2,17,reject
KSU16,small white building,15,0,accept
KSU16,town,6,3,accept
KSU16,trees,18,0,accept
KSU16,two figures,18,0,accept
KSU16,white walls,16,0,accept
KSU16,windows,5,0,accept
KSU16,wooden fence,20,0,accept
KSU17,Bottle,3,0,accept
KSU17,Nature Morte,6,0,accept
KSU17,Plates,2,0,accept
KSU17,blue label,27,0,accept
KSU17,blue tablecloth,4,1,accept
KSU17,bottle of wine,25,0,accept
KSU17,bowl of green cucumbers,27,0,accept
KSU17,brown background,6,0,accept
KSU17,bunch of green grapes,28,0,accept
KSU17,canvas,5,10,reject
KSU17,cluster of dark grapes,24,0,accept
KSU17,plate,28,0,accept
KSU17,several green apples,31,0,accept
KSU17,sliced watermelon,28,0,accept
KSU17,small orange pumpkin,14,8,accept
KSU17,still life,18,8,accept
KSU17,still life painting,11,6,accept
KSU17,vase with flowers,28,0,accept
KSU18,Cathedral,5,0,accept
KSU18,Domes,3,0,accept
KSU18,Entrance,5,0,accept
KSU18,Poltava,4,0,accept
KSU18,a village,16,8,accept
KSU18,blue sky,5,0,accept
KSU18,church,25,0,accept
KSU18,crosses,19,0,accept
KSU18,domes,26,0,accept
KSU18,flowering bushes,4,0,accept
KSU18,green grass,5,0,accept
KSU18,houses,22,4,accept
KSU18,painted scene,27,0,accept
KSU18,path,20,0,accept
KSU18,roofs,18,0,accept
KSU18,signs of age,6,3,accept
KSU18,trees,18,0,accept
KSU18,two groups of people,26,1,accept
KSU18,village,17,2,accept
KSU18,wear,7,3,accept
KSU18,white fence,19,0,accept
