tag,europeana_id,upvotes,downvotes,recommendation,creator,type,creation_date,creation_time,event_number
blue veil,HMT1,2,0,accept,,User,2026-03-27,10:42:26,3
blue veil,HMT1,9,0,accept,,User,2026-03-27,10:42:26,4
blue veil,HMT1,0,0,accept,,User,2026-03-27,10:42:26,5
couple,HMT1,1,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
couple,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
couple,HMT1,0,0,unknown,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
couple,HMT1,8,1,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
couple,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
cross,HMT1,1,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
cross,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
cross,HMT1,1,1,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
cross,HMT1,5,2,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
cross,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
decorative flowers,HMT1,4,0,accept,,User,2026-03-29,17:17:05,4
decorative flowers,HMT1,0,0,accept,,User,2026-03-29,17:17:05,5
decorative wooden border,HMT1,1,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
decorative wooden border,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
decorative wooden border,HMT1,2,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
decorative wooden border,HMT1,8,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
decorative wooden border,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
floral background,HMT1,1,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
floral background,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
floral background,HMT1,4,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
floral background,HMT1,8,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
floral background,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
geometric patterns,HMT1,1,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
geometric patterns,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
geometric patterns,HMT1,4,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
geometric patterns,HMT1,8,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
geometric patterns,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
green background,HMT1,4,0,accept,,User,2026-03-29,17:16:54,4
green background,HMT1,0,0,accept,,User,2026-03-29,17:16:54,5
halos,HMT1,1,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
halos,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
halos,HMT1,3,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
halos,HMT1,7,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
halos,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
heart,HMT1,1,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
heart,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
heart,HMT1,2,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
heart,HMT1,8,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
heart,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
icon,HMT1,1,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
icon,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
icon,HMT1,5,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
icon,HMT1,8,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
icon,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
jesus,HMT1,1,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
jesus,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
jesus,HMT1,2,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
jesus,HMT1,7,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
jesus,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
jesus christ,HMT1,3,0,accept,,User,2026-03-27,10:41:12,3
jesus christ,HMT1,9,0,accept,,User,2026-03-27,10:41:12,4
jesus christ,HMT1,0,0,accept,,User,2026-03-27,10:41:12,5
mary,HMT1,1,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
mary,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
mary,HMT1,3,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
mary,HMT1,6,1,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
mary,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
pair of icons,HMT1,1,0,accept,,User,2026-03-27,11:03:48,3
pair of icons,HMT1,8,0,accept,,User,2026-03-27,11:03:48,4
pair of icons,HMT1,0,0,accept,,User,2026-03-27,11:03:48,5
religious icon,HMT1,2,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
religious icon,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
religious icon,HMT1,4,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
religious icon,HMT1,7,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
religious icon,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
sacred heart,HMT1,3,0,accept,,User,2026-03-27,10:41:51,3
sacred heart,HMT1,9,0,accept,,User,2026-03-27,10:41:51,4
sacred heart,HMT1,0,0,accept,,User,2026-03-27,10:41:51,5
sunburst design,HMT1,0,1,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
sunburst design,HMT1,0,0,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
sunburst design,HMT1,0,0,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
sunburst design,HMT1,2,5,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
sunburst design,HMT1,0,0,reject,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
traditional iconographic style,HMT1,0,0,unknown,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,1
traditional iconographic style,HMT1,0,0,unknown,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,2
traditional iconographic style,HMT1,0,0,unknown,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,3
traditional iconographic style,HMT1,6,2,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,4
traditional iconographic style,HMT1,0,0,accept,"Qwen3-VL-2B-Instruct, Qwen3.5-4B",Software,2026-02-13,08:08:10,5
virgin mary,HMT1,2,0,accept,,User,2026-03-27,10:41:18,3
